trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2024-10-01,2024-10-01T10:36:00,2024-10-01T10:37:00,2024-10-01T11:36:00,35382,2024-10-31,31.0,25908.0,25940.0,26011.632,25830.276,TIMEOUT,25,1,25,1.0,1.0,647700.0,800.0,217.84414280000001,582.1558572,0.2996015939478154
2024-10-03,2024-10-03T10:36:00,2024-10-03T10:37:00,2024-10-03T11:21:00,35382,2024-10-31,30.0,25703.0,25625.891,25805.812,25625.891,STOP,25,1,25,1.0,1.0,642575.0,-1927.7250000000095,215.89085680635,-1927.725,-1.0
2024-10-04,2024-10-04T10:36:00,2024-10-04T10:37:00,2024-10-04T10:52:00,35382,2024-10-31,29.0,25407.0508,25508.679003200003,25508.679003200003,25330.8296476,TARGET,25,1,25,1.0,1.0,635176.27,2540.7050800000434,214.93377715025755,2325.771302849786,1.220538514371654
2024-10-07,2024-10-07T10:36:00,2024-10-07T10:37:00,2024-10-07T10:47:00,35382,2024-10-31,28.0,25167.5,25091.9975,25268.170000000002,25091.9975,STOP,25,1,25,1.0,1.0,629187.5,-1887.5624999999673,212.376327225375,-1887.5625,-1.0
2024-10-08,2024-10-08T10:36:00,2024-10-08T10:37:00,2024-10-08T11:36:00,35382,2024-10-31,27.0,25076.0,25133.0,25176.304,25000.772,TIMEOUT,25,1,25,1.0,1.0,626900.0,1425.0,212.50832865,1212.49167135,0.6447023296379008
2024-10-09,2024-10-09T10:36:00,2024-10-09T10:37:00,2024-10-09T11:36:00,35382,2024-10-31,26.0,25297.8496,25343.3496,25399.0409984,25221.956051200003,TIMEOUT,25,1,25,1.0,1.0,632446.24,1137.5,213.90432418812,923.59567581188,0.48678481394818107
2024-10-10,2024-10-10T10:36:00,2024-10-10T10:37:00,2024-10-10T11:14:00,35382,2024-10-31,25.0,25231.0,25155.307,25331.924,25155.307,STOP,25,1,25,1.0,1.0,630775.0,-1892.3249999999825,212.79308283395002,-1892.325,-1.0
2024-10-11,2024-10-11T10:36:00,2024-10-11T10:37:00,2024-10-11T11:23:00,35382,2024-10-31,24.0,25097.0,25021.709,25197.388,25021.709,STOP,25,1,25,1.0,1.0,627425.0,-1882.275000000027,211.91363005365,-1882.275,-1.0
2024-10-14,2024-10-14T10:36:00,2024-10-14T10:37:00,2024-10-14T11:36:00,35382,2024-10-31,23.0,25202.1504,25218.9004,25302.9590016,25126.543948799997,TIMEOUT,25,1,25,1.0,1.0,630053.76,418.75,213.11538147438,205.63461852562,0.10879210187059804
2024-10-15,2024-10-15T10:36:00,2024-10-15T10:37:00,2024-10-15T11:36:00,35382,2024-10-31,22.0,25135.0,25123.1992,25235.54,25059.595,TIMEOUT,25,1,25,1.0,1.0,628375.0,-295.02000000002226,212.51538483811999,-507.53538483814225,-0.26923168746801523
2024-10-16,2024-10-16T10:36:00,2024-10-16T10:37:00,2024-10-16T11:16:00,35382,2024-10-31,21.0,25137.3008,25061.8888976,25237.8500032,25061.8888976,STOP,25,1,25,1.0,1.0,628432.52,-1885.2975599999809,212.17812744624936,-1885.2975600000002,-1.0
2024-10-17,2024-10-17T10:36:00,2024-10-17T10:37:00,2024-10-17T11:28:00,35382,2024-10-31,20.0,24915.0,24840.255,25014.66,24840.255,STOP,25,1,25,1.0,1.0,622875.0,-1868.6249999999745,210.71914941175,-1868.625,-1.0
2024-10-18,2024-10-18T10:36:00,2024-10-18T10:37:00,2024-10-18T11:36:00,35382,2024-10-31,19.0,24824.0508,24828.0996,24923.3470032,24749.5786476,TIMEOUT,25,1,25,1.0,1.0,620601.27,101.22000000001208,210.55723679344,-109.33723679342793,-0.05872650824225563
2024-10-21,2024-10-21T10:36:00,2024-10-21T10:37:00,2024-10-21T11:36:00,35382,2024-10-31,18.0,24838.5996,24798.4004,24937.9539984,24764.083801200002,TIMEOUT,25,1,25,1.0,1.0,620964.99,-1004.9800000000687,210.40783625,-1215.3878362500686,-0.6524188726807656
2024-10-22,2024-10-22T10:36:00,2024-10-22T10:37:00,2024-10-22T11:36:00,35382,2024-10-31,17.0,24733.9004,24760.0,24832.836001599997,24659.6986988,TIMEOUT,25,1,25,1.0,1.0,618347.51,652.4900000000343,210.08623233094002,442.40376766909435,0.23848712927842916
