trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2021-04-01,2021-04-01T14:14:00,2021-04-01T14:15:00,2021-04-01T15:14:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,130.0,14947.0,14967.05,15006.788,14902.159,TIMEOUT,75,1,75,1.0,1.0,1121025.0,1503.7499999999454,234.291764815,1269.4582351849454,0.3774694989510925
2021-04-06,2021-04-06T14:09:00,2021-04-06T14:10:00,2021-04-06T15:09:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,151.0,14716.6,14739.2,14775.466400000001,14672.450200000001,TIMEOUT,75,1,75,1.0,1.0,1103745.0,1695.0000000000273,231.43429834000003,1463.5657016600273,0.44199994916097085
2021-04-07,2021-04-07T14:09:00,2021-04-07T14:10:00,2021-04-07T15:09:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,150.0,14908.75,14899.8,14968.385,14864.02375,TIMEOUT,75,1,75,1.0,1.0,1118156.25,-671.2500000000546,233.545147165,-904.7951471650546,-0.26972829815900196
2021-04-08,2021-04-08T14:09:00,2021-04-08T14:10:00,2021-04-08T14:31:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,149.0,15013.0,14967.961,15073.052,14967.961,STOP,75,1,75,1.0,1.0,1125975.0,-3377.92500000005,234.5148454603,-3377.925,-1.0
2021-04-09,2021-04-09T14:20:00,2021-04-09T14:21:00,2021-04-09T15:20:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,201.0,14888.0,14894.15,14947.552,14843.336,TIMEOUT,75,1,75,1.0,1.0,1116600.0,461.2499999999727,233.42538644500002,227.8246135549727,0.06801140771239259
2021-04-16,2021-04-16T14:09:00,2021-04-16T14:10:00,2021-04-16T14:25:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,148.0,14673.05,14731.742199999999,14731.742199999999,14629.03085,TARGET,75,1,75,1.0,1.0,1100478.75,4401.914999999963,231.22365887205999,4170.691341127903,1.2632960400576878
2021-04-16,2021-04-16T14:29:00,2021-04-16T14:30:00,2021-04-16T15:00:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,80.0,14721.2,14677.0364,14780.0848,14677.0364,STOP,75,1,75,1.0,1.0,1104090.0,-3312.2699999999895,230.87410264372,-3312.27,-1.0
2021-04-20,2021-04-20T14:09:00,2021-04-20T14:10:00,2021-04-20T14:22:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,147.0,14388.85,14345.68345,14446.4054,14345.68345,STOP,75,1,75,1.0,1.0,1079163.75,-3237.4912499999937,226.727423839435,-3237.49125,-1.0
2021-04-22,2021-04-22T14:09:00,2021-04-22T14:10:00,2021-04-22T15:09:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,146.0,14396.15,14404.95,14453.7346,14352.96155,TIMEOUT,75,1,75,1.0,1.0,1079711.25,660.0000000000819,227.29951753,432.70048247008185,0.1335852471266683
2021-04-23,2021-04-23T14:09:00,2021-04-23T14:10:00,2021-04-23T14:22:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,145.0,14361.7,14318.6149,14419.1468,14318.6149,STOP,75,1,75,1.0,1.0,1077127.5,-3231.382500000018,226.38867754927,-3231.3825,-1.0
2021-04-27,2021-04-27T14:09:00,2021-04-27T14:10:00,2021-04-27T15:09:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,144.0,14630.45,14645.0,14688.971800000001,14586.55865,TIMEOUT,75,1,75,1.0,1.0,1097283.75,1091.2499999999454,230.282546035,860.9674539649454,0.2615450664622058
2021-04-28,2021-04-28T14:10:00,2021-04-28T14:11:00,2021-04-28T15:10:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,168.0,14865.0,14864.0,14924.460000000001,14820.405,TIMEOUT,75,1,75,1.0,1.0,1114875.0,-75.0,233.0716267,-308.0716267,-0.09210946718989424
2021-04-29,2021-04-29T14:29:00,2021-04-29T14:30:00,2021-04-29T15:29:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,77.0,14907.0,14897.1,14966.628,14862.279,EXPIRY,75,1,75,1.0,1.0,1118025.0,-742.4999999999727,233.51447443,-976.0144744299728,-0.2909936344386971
2021-04-30,2021-04-30T14:43:00,2021-04-30T14:44:00,2021-04-30T15:05:00,legacy:NIFTY:FUTIDX:2021-05-27,2021-05-27,2.0,14748.65,14704.40405,14807.6446,14704.40405,STOP,75,1,75,1.0,1.0,1106148.75,-3318.4462500000336,231.216591986815,-3318.44625,-1.0
2021-05-05,2021-05-05T14:43:00,2021-05-05T14:44:00,2021-05-05T15:29:00,legacy:NIFTY:FUTIDX:2021-05-27,2021-05-27,1.0,14648.0,14695.0,14706.592,14604.056,TIMEOUT,75,1,75,1.0,1.0,1098600.0,3525.0,230.8022389,3294.1977611,0.999513854329753
2021-05-07,2021-05-07T14:09:00,2021-05-07T14:10:00,2021-05-07T15:09:00,legacy:NIFTY:FUTIDX:2021-05-27,2021-05-27,143.0,14865.0,14879.2002,14924.460000000001,14820.405,TIMEOUT,75,1,75,1.0,1.0,1114875.0,1065.0149999999485,233.21226351046,831.8027364894886,0.24869835526837494
2021-05-11,2021-05-11T14:11:00,2021-05-11T14:12:00,2021-05-11T15:11:00,legacy:NIFTY:FUTIDX:2021-05-27,2021-05-27,52.0,14866.5,14881.0,14925.966,14821.9005,TIMEOUT,75,1,75,1.0,1.0,1114987.5,1087.5,233.23379425,854.26620575,0.2553888737915597
2021-05-12,2021-05-12T14:14:00,2021-05-12T14:15:00,2021-05-12T14:56:00,legacy:NIFTY:FUTIDX:2021-05-27,2021-05-27,121.0,14760.0996,14715.8193012,14819.1399984,14715.8193012,STOP,75,1,75,1.0,1.0,1107007.47,-3321.0224100000232,231.35944684957275,-3321.0224099999996,-1.0
