trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2024-10-14,2024-10-14T13:56:00,2024-10-14T13:57:00,2024-10-14T14:56:00,35382,2024-10-31,0.0033837813299523595,25234.8496,25223.0,25335.788998400003,25159.1450512,TIMEOUT,25,1,25,1.0,1.0,630871.24,-296.24000000003434,213.17209490656,-509.41209490659435,-0.2691579848140351
2024-10-18,2024-10-18T14:47:00,2024-10-18T14:48:00,2024-10-18T15:29:00,35382,2024-10-31,0.005109444729468248,24962.5,24965.5508,25062.35,24887.6125,TIMEOUT,25,1,25,1.0,1.0,624062.5,76.27000000002226,211.46266222438,-135.19266222435775,-0.07221106979101065
2024-11-19,2024-11-19T13:57:00,2024-11-19T13:58:00,2024-11-19T14:11:00,35089,2024-11-28,0.003968730513473463,23819.3,23747.842099999998,23914.5772,23747.842099999998,STOP,25,1,25,1.0,1.0,595482.5,-1786.4475000000311,203.527982162685,-1786.4475,-1.0
2024-12-03,2024-12-03T14:11:00,2024-12-03T14:12:00,2024-12-03T15:11:00,35005,2024-12-26,0.019921260646105953,24583.5,24557.2,24681.834,24509.7495,TIMEOUT,25,1,25,1.0,1.0,614587.5,-657.4999999999818,208.806356895,-866.3063568949818,-0.46985788944887524
