trade_date,trade_count,policy_return_bps,stress_3_5_return_bps,stress_5_0_return_bps,stress_7_0_return_bps
2024-07-01,1,-3.5073160905272,-5.6256560555272,-6.5335160405272,-7.743996020527199
2024-07-02,2,23.746228656750223,19.509139594250225,17.69324428175022,15.272050531750223
2024-07-03,1,-1.6761763457495547,-3.806681033249555,-4.719754470749555,-5.937185720749555
2024-07-04,0,0.0,0.0,0.0,0.0
2024-07-05,0,0.0,0.0,0.0,0.0
2024-07-08,1,-1.9393229742634794,-4.069755456763479,-4.98279794926348,-6.200187939263479
2024-07-09,0,0.0,0.0,0.0,0.0
2024-07-10,0,0.0,0.0,0.0,0.0
2024-07-11,0,0.0,0.0,0.0,0.0
2024-07-12,0,0.0,0.0,0.0,0.0
2024-07-15,0,0.0,0.0,0.0,0.0
2024-07-16,0,0.0,0.0,0.0,0.0
2024-07-18,1,23.06040532155646,20.892991646556457,19.96410007155646,18.725577971556458
2024-07-19,1,-18.45825,-18.45825,-18.45825,-18.45825
2024-07-22,0,0.0,0.0,0.0,0.0
2024-07-23,1,-18.329211899999997,-18.329211899999997,-18.329211899999997,-18.329211899999997
2024-07-24,0,0.0,0.0,0.0,0.0
2024-07-25,0,0.0,0.0,0.0,0.0
2024-07-26,1,23.136320912527335,20.961915156277332,20.030026975027333,18.787509400027336
2024-07-29,0,0.0,0.0,0.0,0.0
2024-07-30,0,0.0,0.0,0.0,0.0
2024-07-31,1,-4.706815155749555,-6.893538593249555,-7.830705780749555,-9.080262030749555
2024-08-01,0,0.0,0.0,0.0,0.0
2024-08-02,1,-18.612975600000002,-18.612975600000002,-18.612975600000002,-18.612975600000002
2024-08-05,0,0.0,0.0,0.0,0.0
2024-08-06,1,-18.1973628,-18.1973628,-18.1973628,-18.1973628
2024-08-07,1,0.6641970844725773,-1.4597428805274222,-2.370002865527423,-3.5836828455274223
2024-08-08,1,-16.3162854887772,-18.1345122,-18.1345122,-18.1345122
2024-08-09,1,9.79546058675,7.660646524250001,6.74572621175,5.52583246175
2024-08-12,0,0.0,0.0,0.0,0.0
2024-08-13,1,-2.94249817125,-5.05655285875,-5.962576296249999,-7.170607546250001
2024-08-14,0,0.0,0.0,0.0,0.0
2024-08-16,1,17.112479854777423,14.963433882277423,14.04241417977742,12.814387909777423
2024-08-19,0,0.0,0.0,0.0,0.0
2024-08-20,0,0.0,0.0,0.0,0.0
2024-08-21,1,-5.8965619590134795,-8.06340537901348,-8.99205255901348,-10.230248799013479
2024-08-22,0,0.0,0.0,0.0,0.0
2024-08-23,0,0.0,0.0,0.0,0.0
2024-08-26,1,1.4274237019995548,-0.7632044230004453,-1.7020450480004452,-2.953832548000445
2024-08-27,2,2.081168656054177,-2.298845163945823,-4.175993943945823,-6.6788589839458234
2024-08-28,1,-1.1632169862506867,-3.360921673750687,-4.302795111250687,-5.558626361250687
2024-08-29,1,23.40457262748732,21.205459986097317,20.262983139787316,19.006347344707315
2024-08-30,1,5.764630752527423,3.549970717527422,2.600830702527423,1.3353106825274221
2024-09-02,0,0.0,0.0,0.0,0.0
2024-09-03,0,0.0,0.0,0.0,0.0
2024-09-04,0,0.0,0.0,0.0,0.0
2024-09-05,0,0.0,0.0,0.0,0.0
2024-09-06,2,-21.88185801447302,-24.06558679947302,-25.00147056447302,-26.249315584473024
2024-09-09,1,-8.805103774486522,-10.988913479486522,-11.92483192448652,-13.172723184486522
2024-09-10,0,0.0,0.0,0.0,0.0
2024-09-11,1,-18.801074699999997,-18.801074699999997,-18.801074699999997,-18.801074699999997
2024-09-12,1,4.077792403,1.8873611529999998,0.9486049030000003,-0.3030700969999998
2024-09-13,0,0.0,0.0,0.0,0.0
2024-09-16,0,0.0,0.0,0.0,0.0
2024-09-17,0,0.0,0.0,0.0,0.0
2024-09-18,1,-1.5688052255,-3.7992021005,-4.755086475500001,-6.029598975500001
2024-09-19,1,-12.429397787222577,-14.657718759722577,-15.612713462222578,-16.886039732222578
2024-09-20,0,0.0,0.0,0.0,0.0
2024-09-23,2,3.773672917554623,-0.757497152445377,-2.6994271824453775,-5.288667222445377
2024-09-24,0,0.0,0.0,0.0,0.0
2024-09-25,0,0.0,0.0,0.0,0.0
2024-09-26,2,20.820697339947078,16.24986015119708,14.29092992744708,11.67902296244708
2024-09-27,0,0.0,0.0,0.0,0.0
2024-09-30,0,0.0,0.0,0.0,0.0
