trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2024-04-02,2024-04-02T14:32:00,2024-04-02T14:33:00,2024-04-02T15:29:00,legacy:NIFTY:FUTIDX:2024-04-25,2024-04-25,1.0,22565.1504,22575.3496,22655.411001599998,22497.454948799998,TIMEOUT,50,1,50,1.0,1.0,1128257.52,509.96000000013737,263.5942175,246.36578250013736,0.07278651021093639
2024-04-03,2024-04-03T14:40:00,2024-04-03T14:41:00,2024-04-03T15:29:00,legacy:NIFTY:FUTIDX:2024-04-25,2024-04-25,23.0,22559.0,22546.75,22649.236,22491.323,TIMEOUT,50,1,50,1.0,1.0,1127950.0,-612.5,263.36872465,-875.86872465,-0.25883792858726007
2024-04-08,2024-04-08T14:08:00,2024-04-08T14:09:00,2024-04-08T15:08:00,legacy:NIFTY:FUTIDX:2024-04-25,2024-04-25,80.0,22739.8008,22738.0,22830.7600032,22671.5813976,TIMEOUT,50,1,50,1.0,1.0,1136990.04,-90.04000000004453,265.17946769456,-355.21946769460453,-0.10414030472204913
2024-04-22,2024-04-22T14:45:00,2024-04-22T14:46:00,2024-04-22T15:29:00,legacy:NIFTY:FUTIDX:2024-04-25,2024-04-25,33.0,22314.5,22399.0,22403.758,22247.5565,TIMEOUT,50,1,50,1.0,1.0,1115725.0,4225.0,261.7425607,3963.2574393,1.184060420892245
2024-04-30,2024-04-30T14:02:00,2024-04-30T14:03:00,2024-04-30T14:48:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,19.0,22850.0,22781.45,22941.4,22781.45,STOP,50,1,50,1.0,1.0,1142500.0,-3427.4999999999636,265.74072239,-3427.5,-1.0
2024-05-02,2024-05-02T14:10:00,2024-05-02T14:11:00,2024-05-02T15:10:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,65.0,22791.0,22774.3008,22882.164,22722.627,TIMEOUT,50,1,50,1.0,1.0,1139550.0,-834.9599999999555,265.55976439456,-1100.5197643945155,-0.3219164770873051
2024-05-14,2024-05-14T13:50:00,2024-05-14T13:51:00,2024-05-14T14:50:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,91.0,22327.4004,22322.25,22416.7100016,22260.4181988,TIMEOUT,50,1,50,1.0,1.0,1116370.02,-257.5199999999313,261.20118449728,-518.7211844972113,-0.15488328994993114
2024-05-14,2024-05-14T14:50:00,2024-05-14T14:51:00,2024-05-14T15:29:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,111.0,22325.0,22312.1992,22414.3,22258.025,TIMEOUT,50,1,50,1.0,1.0,1116250.0,-640.0400000000445,261.12142110544,-901.1614211054846,-0.269103821158786
2024-05-17,2024-05-17T14:18:00,2024-05-17T14:19:00,2024-05-17T15:18:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,51.0,22519.0,22502.8008,22609.076,22451.443,TIMEOUT,50,1,50,1.0,1.0,1125950.0,-809.9599999999555,262.95597269456,-1072.9159726945154,-0.31763280568838625
2024-05-21,2024-05-21T14:31:00,2024-05-21T14:32:00,2024-05-21T15:29:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,35.0,22629.3496,22591.0996,22719.8669984,22561.461551200002,TIMEOUT,50,1,50,1.0,1.0,1131467.48,-1912.5,263.85025085544004,-2176.35025085544,-0.641158580729585
2024-05-22,2024-05-22T14:32:00,2024-05-22T14:33:00,2024-05-22T15:29:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,71.0,22657.0996,22667.4004,22747.7279984,22589.128301200002,TIMEOUT,50,1,50,1.0,1.0,1132854.98,515.0399999998626,264.476433,250.56356699986264,0.07372628489478346
2024-05-24,2024-05-24T14:20:00,2024-05-24T14:21:00,2024-05-24T14:31:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,24.0,23088.0508,23018.7866476,23180.4030032,23018.7866476,STOP,50,1,50,1.0,1.0,1154402.54,-3463.2076199999574,268.0174748537863,-3463.20762,-1.0
2024-05-27,2024-05-27T14:05:00,2024-05-27T14:06:00,2024-05-27T14:47:00,legacy:NIFTY:FUTIDX:2024-05-30,2024-05-30,41.0,23159.0,23089.523,23251.636,23089.523,STOP,50,1,50,1.0,1.0,1157950.0,-3473.8499999999476,268.6960433186,-3473.85,-1.0
2024-06-14,2024-06-14T14:33:00,2024-06-14T14:34:00,2024-06-14T15:29:00,legacy:NIFTY:FUTIDX:2024-06-27,2024-06-27,3.0,23454.0,23462.0,23547.816,23383.638,TIMEOUT,50,1,50,1.0,1.0,1172700.0,400.0,272.09877120000004,127.90122879999996,0.0363551999090418
