trade_date,trade_count,policy_return_bps,stress_3_5_return_bps,stress_5_0_return_bps,stress_7_0_return_bps
2023-10-03,0,0.0,0.0,0.0,0.0
2023-10-04,0,0.0,0.0,0.0,0.0
2023-10-05,1,-15.64978987600089,-19.07751487600089,-20.54653987600089,-22.50523987600089
2023-10-06,0,0.0,0.0,0.0,0.0
2023-10-09,1,-6.748694211527441,-10.17612167652744,-11.64501916152744,-13.603549141527441
2023-10-10,0,0.0,0.0,0.0,0.0
2023-10-11,0,0.0,0.0,0.0,0.0
2023-10-12,0,0.0,0.0,0.0,0.0
2023-10-13,0,0.0,0.0,0.0,0.0
2023-10-16,0,0.0,0.0,0.0,0.0
2023-10-17,0,0.0,0.0,0.0,0.0
2023-10-18,0,0.0,0.0,0.0,0.0
2023-10-19,0,0.0,0.0,0.0,0.0
2023-10-20,0,0.0,0.0,0.0,0.0
2023-10-23,1,-3.9117176949195325,-7.315550924919533,-8.774336594919532,-10.719384154919533
2023-10-25,3,-77.55724755997349,-80.93182946997348,-82.37807885997348,-84.30641137997348
2023-10-26,2,-24.084295533444227,-30.685168728444225,-33.51411438344423,-36.63387511491726
2023-10-27,1,11.273394973026512,7.934381813026513,6.503376173026513,4.595368653026513
2023-10-30,3,62.19982751931297,52.13611422653297,47.823094243912976,42.072400933752974
2023-10-31,2,11.352577091918159,4.638041571918157,1.7603834919181576,-2.0764939480818416
2023-11-01,2,-9.005440381054846,-15.689101561054844,-18.553527781054846,-22.372762741054842
2023-11-02,0,0.0,0.0,0.0,0.0
2023-11-03,0,0.0,0.0,0.0,0.0
2023-11-06,0,0.0,0.0,0.0,0.0
2023-11-07,0,0.0,0.0,0.0,0.0
2023-11-08,0,0.0,0.0,0.0,0.0
2023-11-09,0,0.0,0.0,0.0,0.0
2023-11-10,0,0.0,0.0,0.0,0.0
2023-11-13,0,0.0,0.0,0.0,0.0
2023-11-15,0,0.0,0.0,0.0,0.0
2023-11-16,0,0.0,0.0,0.0,0.0
2023-11-17,1,7.078681182472113,3.612009967472113,2.126293732472113,0.14533875247211311
2023-11-20,0,0.0,0.0,0.0,0.0
2023-11-21,0,0.0,0.0,0.0,0.0
2023-11-22,1,10.629306163999999,7.164481164000001,5.679556163999999,3.6996561639999994
2023-11-23,1,-17.125875543,-20.602819293000003,-22.092938043,-24.079763042999996
2023-11-24,0,0.0,0.0,0.0,0.0
2023-11-28,0,0.0,0.0,0.0,0.0
2023-11-29,0,0.0,0.0,0.0,0.0
2023-11-30,2,20.555519423526956,13.527790638526959,10.515906873526959,6.500061853526959
2023-12-01,0,0.0,0.0,0.0,0.0
2023-12-04,0,0.0,0.0,0.0,0.0
2023-12-05,1,23.975894798526515,20.323216013526515,18.757782248526514,16.670537228526513
2023-12-06,2,51.04883382357446,43.696213601354465,40.545090648974465,36.34359337913446
2023-12-07,0,0.0,0.0,0.0,0.0
2023-12-08,2,-39.93485323047349,-43.60586326547349,-45.17915328047348,-47.27687330047349
2023-12-11,1,5.483000336445155,1.7969797814451556,0.21725668644515397,-1.8890407735548445
2023-12-12,0,0.0,0.0,0.0,0.0
2023-12-13,0,0.0,0.0,0.0,0.0
2023-12-14,0,0.0,0.0,0.0,0.0
2023-12-15,0,0.0,0.0,0.0,0.0
2023-12-18,0,0.0,0.0,0.0,0.0
2023-12-19,0,0.0,0.0,0.0,0.0
2023-12-20,3,-79.05360326444516,-82.83605770944516,-84.45710961444516,-86.61851215444516
2023-12-21,3,29.502112711959096,18.3350673643191,13.612495594285615,9.360306804205619
2023-12-22,3,65.22020575529508,53.98793705029507,49.17410760529509,42.755668345295085
2023-12-26,2,37.88688355041771,30.371176155417714,27.150158700417716,22.855468760417715
2023-12-27,1,5.687449960972558,1.9164756209725589,0.30034376097255744,-1.8544987190274411
2023-12-28,1,15.694353412891202,11.8923998028912,10.262991112891198,8.0904461928912
2023-12-29,1,24.00564491708273,20.179099187082734,18.53915101708273,16.35255345708273
