trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2024-01-01,2024-01-01T12:01:00,2024-01-01T12:02:00,2024-01-01T13:01:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.525223911854736,21858.8496,21884.0,21946.284998400002,21793.2730512,TIMEOUT,50,1,50,1.0,1.0,1092942.48,1257.5199999999313,256.93424650272,1000.5857534972113,0.30516572518900575
2024-01-01,2024-01-01T14:11:00,2024-01-01T14:12:00,2024-01-01T15:11:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5113602106747827,21959.9492,21900.0,22047.788996799998,21894.069352399998,TIMEOUT,50,1,50,1.0,1.0,1097997.46,-2997.4599999999555,257.27214185544,-3254.7321418553956,-0.9880812601805096
2024-01-02,2024-01-02T10:17:00,2024-01-02T10:18:00,2024-01-02T10:36:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5156607108747719,21771.9492,21706.6333524,21859.036996799998,21706.6333524,STOP,50,1,50,1.0,1.0,1088597.46,-3265.792379999948,255.43008779021366,-3265.79238,-1.0
2024-01-02,2024-01-02T10:56:00,2024-01-02T10:57:00,2024-01-02T11:56:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5236276643818122,21710.0,21706.9004,21796.84,21644.87,TIMEOUT,50,1,50,1.0,1.0,1085500.0,-154.98000000006869,255.29775054728,-410.27775054734866,-0.125987333194334
2024-01-02,2024-01-02T12:02:00,2024-01-02T12:03:00,2024-01-02T13:02:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5108181029106336,21713.3496,21727.5,21800.2029984,21648.2095512,TIMEOUT,50,1,50,1.0,1.0,1085667.48,707.5199999999313,255.45782510272,452.0621748972113,0.13879700222060976
2024-01-04,2024-01-04T12:03:00,2024-01-04T12:04:00,2024-01-04T13:03:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5165795565465064,21756.0,21769.9492,21843.024,21690.732,TIMEOUT,50,1,50,1.0,1.0,1087800.0,697.4599999999555,255.86519635544,441.5948036445155,0.13531740014846952
2024-01-04,2024-01-04T14:14:00,2024-01-04T14:15:00,2024-01-04T15:14:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5464375583814922,21763.0996,21773.0,21850.1519984,21697.810301200003,TIMEOUT,50,1,50,1.0,1.0,1088154.98,495.0199999999313,255.90322115272,239.11677884721132,0.07324838319360578
2024-01-08,2024-01-08T12:00:00,2024-01-08T12:01:00,2024-01-08T13:00:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5128479590421364,21628.0996,21643.1992,21714.6119984,21563.2153012,TIMEOUT,50,1,50,1.0,1.0,1081404.98,754.9799999998868,254.64762585815998,500.3323741417268,0.15422294249767768
2024-01-09,2024-01-09T10:20:00,2024-01-09T10:21:00,2024-01-09T11:20:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5129888221312007,21755.6504,21754.4004,21842.6730016,21690.3834488,TIMEOUT,50,1,50,1.0,1.0,1087782.52,-62.5,255.74909424456,-318.24909424456,-0.09752227992673879
2024-01-11,2024-01-11T10:54:00,2024-01-11T10:55:00,2024-01-11T11:54:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5245831407153113,21672.3008,21698.3008,21758.9900032,21607.283897600002,TIMEOUT,50,1,50,1.0,1.0,1083615.04,1300.0,255.15221758912003,1044.84778241088,0.3214080473974964
2024-01-12,2024-01-12T12:03:00,2024-01-12T12:04:00,2024-01-12T13:03:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5155288111619459,21856.0996,21900.5,21943.5239984,21790.5313012,TIMEOUT,50,1,50,1.0,1.0,1092804.98,2220.0199999999313,257.05068425272003,1962.9693157472113,0.5987556034463446
2024-01-15,2024-01-15T14:09:00,2024-01-15T14:10:00,2024-01-15T15:09:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5172338367021077,22126.4004,22122.0,22214.9060016,22060.021198799997,TIMEOUT,50,1,50,1.0,1.0,1106320.02,-220.01999999993131,259.27988174728,-479.2998817472113,-0.14441266935499406
2024-01-16,2024-01-16T13:46:00,2024-01-16T13:47:00,2024-01-16T14:46:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5131910377393777,22025.1992,22053.3496,22113.2999968,21959.1236024,TIMEOUT,50,1,50,1.0,1.0,1101259.96,1407.5200000001132,258.55119490815997,1148.9688050919533,0.3477740184954312
2024-01-23,2024-01-23T10:17:00,2024-01-23T10:18:00,2024-01-23T10:24:00,legacy:NIFTY:FUTIDX:2024-01-25,2024-01-25,0.5120112215467383,21709.8008,21644.6713976,21796.640003200002,21644.6713976,STOP,50,1,50,1.0,1.0,1085490.04,-3256.4701200000854,254.83569145623628,-3256.4701200000004,-1.0
2024-01-29,2024-01-29T10:23:00,2024-01-29T10:24:00,2024-01-29T11:23:00,legacy:NIFTY:FUTIDX:2024-02-29,2024-02-29,0.5158404505464911,21737.5,21717.1992,21824.45,21672.2875,TIMEOUT,50,1,50,1.0,1.0,1086875.0,-1015.0400000000445,255.43377460544,-1270.4737746054846,-0.3896411806342295
2024-01-29,2024-01-29T13:05:00,2024-01-29T13:06:00,2024-01-29T14:05:00,legacy:NIFTY:FUTIDX:2024-02-29,2024-02-29,0.5123297779693117,21830.0,21856.1992,21917.32,21764.51,TIMEOUT,50,1,50,1.0,1.0,1091500.0,1309.9599999999555,256.66546290544,1053.2945370945154,0.3216657618245581
