trade_date,front_instrument_id,front_expiry,front_close,front_volume,front_oi,bhavcopy_expected
2024-11-01,35013,2024-11-27,51927.75,18318,2649435,True
2025-01-01,35012,2025-01-30,51439.25,96417,2230875,True
